,SampleID,SEQUENCE,START,END,STRAND,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION,PRODUCT,RESISTANCE
25,barcode01,barcode01_contig_1,1882178,1882622,+,invI,1-444/444,========/======,1/1,100.0,99.33,vfdb,NP_461814,(invI) type III secretion system stalk protein InvI [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
26,barcode01,barcode01_contig_1,1882622,1883632,+,invJ,1-1011/1011,===============,0/0,100.0,99.31,vfdb,NP_461813,(invJ) type III secretion system needle length regulator InvJ [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
27,barcode01,barcode01_contig_1,1883632,1884543,+,spaO,1-912/912,===============,0/0,100.0,99.89,vfdb,NP_461812,(spaO) type III secretion system C ring protein SpaO [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
28,barcode01,barcode01_contig_1,1884533,1885207,+,spaP,1-675/675,===============,0/0,100.0,99.11,vfdb,NP_461811,(spaP) type III secretion system minor export apparatus protein SpaP [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
29,barcode01,barcode01_contig_1,1885233,1885493,+,spaQ,1-261/261,===============,0/0,100.0,100.0,vfdb,NP_461810,(spaQ) type III secretion system minor export apparatus protein SpaQ [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
30,barcode01,barcode01_contig_1,1885497,1886288,+,spaR,1-792/792,===============,0/0,100.0,99.37,vfdb,NP_461809,(spaR) type III secretion system minor export apparatus protein SpaR [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
31,barcode01,barcode01_contig_1,1886275,1887346,+,spaS,1-1071/1071,========/======,1/1,100.0,99.44,vfdb,NP_461808,(spaS) type III secretion system export apparatus switch protein SpaS [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
32,barcode01,barcode01_contig_1,1887484,1887981,+,sicA,1-498/498,===============,0/0,100.0,99.2,vfdb,NP_461807,(sicA) chaparone for SipC and SipB [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
33,barcode01,barcode01_contig_1,1887984,1889765,+,sipB/sspB,1-1782/1782,===============,0/0,100.0,99.5,vfdb,NP_461806,(sipB/sspB) type III secretion system hydrophilic translocator pore protein SipB [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
34,barcode01,barcode01_contig_1,1889793,1891022,+,sipC/sspC,1-1230/1230,===============,0/0,100.0,99.43,vfdb,NP_461805,(sipC/sspC) type III secretion system hydrophilic translocator pore protein SipC [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
35,barcode01,barcode01_contig_1,1891093,1892124,+,sipD,1-1032/1032,===============,0/0,100.0,99.71,vfdb,NP_461804,(sipD) type III secretion system hydrophilic translocator needle tip protein SipD [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
36,barcode01,barcode01_contig_1,1892143,1894201,+,sipA/sspA,1-2058/2058,========/======,1/1,100.0,99.56,vfdb,NP_461803,(sipA/sspA) type III secretion system effector SipA actin polymerizing activity [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
37,barcode01,barcode01_contig_1,1894799,1895191,+,sicP,1-393/393,===============,0/0,100.0,99.75,vfdb,NP_461800,(sicP) chaparone for SptP [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
38,barcode01,barcode01_contig_1,1895178,1896809,+,sptP,1-1632/1632,===============,0/0,100.0,99.75,vfdb,NP_461799,(sptP) type III secretion system effector SptP tyrosine phosphatase and GTPase-activating protein [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
39,barcode01,barcode01_contig_1,1901360,1902539,+,prgH,1-1179/1179,========/======,1/1,100.0,99.49,vfdb,NP_461795,(prgH) type III secretion system outer MS ring protein PrgH [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
40,barcode01,barcode01_contig_1,1902564,1902806,+,prgI,1-243/243,===============,0/0,100.0,100.0,vfdb,NP_461794,(prgI) type III secretion system needle filament protein PrgI [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
41,barcode01,barcode01_contig_1,1902825,1903130,+,prgJ,1-306/306,===============,0/0,100.0,100.0,vfdb,NP_461793,(prgJ) type III secretion system inner rod protein PrgJ [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
42,barcode01,barcode01_contig_1,1903127,1903886,+,prgK,1-759/759,========/======,1/1,100.0,99.74,vfdb,NP_461792,(prgK) type III secretion system inner MS ring protein PrgK [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
43,barcode01,barcode01_contig_1,1903858,1904457,+,orgA,1-600/600,===============,0/0,100.0,100.0,vfdb,NP_461791,(orgA) type III secretion system accessory cytosolic protein OrgA [SPI-1 encoded T3SS (SS010)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
44,barcode01,barcode01_contig_1,1904414,1905094,+,orgB,1-681/681,===============,0/0,100.0,99.71,vfdb,NP_461790,(orgB) type III secretion system stator OrgB [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
45,barcode01,barcode01_contig_1,1905091,1905543,+,orgC,1-453/453,===============,0/0,100.0,99.56,vfdb,NP_461789,(orgC) type III secretion system effector OrgC [SPI-1 encoded T3SS (SS010)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
46,barcode01,barcode01_contig_1,1908075,1908983,+,avrA,1-909/909,===============,0/0,100.0,99.56,vfdb,NP_461786,(avrA) type III secretion system effector AvrA acetyltransferease [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
47,barcode01,barcode01_contig_1,1951839,1952254,+,luxS,1-416/519,=============..,0/0,80.15,72.84,vfdb,NP_230208,(luxS) S-ribosylhomocysteinase [AI-2 (VF0406)] [Vibrio cholerae O1 biovar El Tor str. N16961],
48,barcode01,barcode01_contig_1,1954496,1955568,-,farB,88-1157/1527,========/===...,18/31,69.16,64.67,vfdb,NP_273368,(farB) fatty acid efflux system protein FarB [FarAB (VF0450)] [Neisseria meningitidis MC58],
49,barcode01,barcode01_contig_1,1988136,1989032,-,mig-14,1-897/897,===============,0/0,100.0,99.11,vfdb,NP_461708,(mig-14) antimicrobial peptide resistance protein Mig-14 [Mig-14 (VF0395)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
50,barcode01,barcode01_contig_1,1990773,1991825,+,pipB2,1-1053/1053,===============,0/0,100.0,98.1,vfdb,NP_461706,(pipB2) type III secretion system effector PipB3 [SPI-2 encoded T3SS (SS021)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
51,barcode01,barcode01_contig_1,1992864,1995038,+,iroN,1-2178/2178,========/======,5/7,99.77,77.11,vfdb,NP_753164,(iroN) salmochelin receptor IroN [IroN (VF0230)] [Escherichia coli CFT073],
52,barcode01,barcode01_contig_1,1995110,1995938,-,iroE,90-915/957,.=======/======,10/17,85.58,69.74,vfdb,NP_753165,(iroE) esterase [Salmochelin (IA013)] [Escherichia coli CFT073],
53,barcode01,barcode01_contig_1,1996069,1997200,-,iroD,80-1208/1230,========/======,10/19,91.14,70.7,vfdb,NP_753166,(iroD) esterase [Salmochelin (IA013)] [Escherichia coli CFT073],
54,barcode01,barcode01_contig_1,1997437,2001067,-,iroC,69-3687/3738,========/======,19/36,96.5,76.12,vfdb,NP_753167,(iroC) ATP binding cassette transporter [Salmochelin (IA013)] [Escherichia coli CFT073],
55,barcode01,barcode01_contig_1,2001153,2002268,-,iroB,34-1149/1164,===============,0/0,95.88,78.5,vfdb,NP_753168,(iroB) glucosyltransferase IroB [Salmochelin (IA013)] [Escherichia coli CFT073],
56,barcode01,barcode01_contig_1,2112524,2112921,+,algU,154-551/582,...=====/======,4/6,67.87,68.08,vfdb,NP_249453,(algU) alginate biosynthesis protein AlgZ/FimS [Alginate (VF0091)] [Pseudomonas aeruginosa PAO1],
57,barcode01,barcode01_contig_1,2192918,2195110,+,sinH,1-2193/2193,===============,0/0,100.0,99.82,vfdb,NP_461452,(sinH) intimin-like protein [SinH (VF0400)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
58,barcode01,barcode01_contig_1,2202016,2209324,+,ratB,1-7308/7308,========/======,1/1,100.0,98.92,vfdb,NP_461449,(ratB) putative outer membrane protein [RatB (VF0399)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
59,barcode01,barcode01_contig_1,2210018,2215124,+,shdA,1-5098/6120,========/====..,1/9,83.3,92.93,vfdb,NP_461448,(shdA) AIDA autotransporter-like protein [ShdA (VF0398)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
60,barcode01,barcode01_contig_1,2338678,2339467,+,pla,149-937/939,..======/======,2/7,83.71,71.88,vfdb,NP_395233,(pla) plasminogen activator protease precursor [Pla (VF0139)] [Yersinia pestis CO92],
61,barcode01,barcode01_contig_1,2502739,2503693,-,sseL,1-954/954,========/======,1/1,100.0,96.55,vfdb,NP_461229,(sseL) type III secretion system effector SseL deubiquitinase [SPI-2 encoded T3SS (SS021)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
62,barcode01,barcode01_contig_1,2555222,2557589,+,sspH2,1-2367/2367,========/======,1/1,100.0,99.83,vfdb,NP_461184,(sspH2) type III secretion system effector SspH2 E3 ubiquitin ligase [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
63,barcode01,barcode01_contig_1,2656501,2657547,-,sseK2,1-1047/1047,===============,0/0,100.0,98.47,vfdb,NP_461081,(sseK2) type III secretion system effector SseK2 [SPI-2 encoded T3SS (SS021)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
64,barcode01,barcode01_contig_1,2705535,2706265,+,gmd,28-758/1119,========/==....,2/2,65.24,72.13,vfdb,YP_001007257,(gmd) GDP-mannose 46-dehydratase [O-antigen (VF0392)] [Yersinia enterocolitica subsp. enterocolitica 8081],
65,barcode01,barcode01_contig_1,2706764,2707311,+,fcl,136-683/966,.=======/==....,5/14,56.0,69.37,vfdb,YP_001007256,(fcl) GDP-fucose synthetase [O-antigen (VF0392)] [Yersinia enterocolitica subsp. enterocolitica 8081],
66,barcode01,barcode01_contig_1,2709871,2710722,+,algA,552-1403/1446,.....===/======,7/12,58.51,67.48,vfdb,NP_252241,(algA) phosphomannose isomerase / guanosine 5'-diphospho-D-mannose pyrophosphorylase [Alginate (VF0091)] [Pseudomonas aeruginosa PAO1],
67,barcode01,barcode01_contig_1,2710855,2711883,+,manB,16-1044/1371,========/===...,7/8,74.76,64.28,vfdb,YP_001007254,(manB) phosphomannomutase [O-antigen (VF0392)] [Yersinia enterocolitica subsp. enterocolitica 8081],
68,barcode01,barcode01_contig_1,2720634,2721427,+,rffG,16-785/1014,========/===...,11/38,75.25,67.29,vfdb,NP_439034,(rffG) dTDP-glucose 46-dehydratase [LOS (CVF494)] [Haemophilus influenzae Rd KW20],
69,barcode01,barcode01_contig_1,2725077,2725849,+,ddhA,14-786/786,===============,0/0,98.35,71.8,vfdb,YP_001007269,(ddhA) glucose-1-phosphate cytidylyltransferase [O-antigen (VF0392)] [Yersinia enterocolitica subsp. enterocolitica 8081],
70,barcode01,barcode01_contig_1,2725854,2726802,+,ddhB,1-950/1074,========/=====.,3/7,88.08,71.14,vfdb,YP_001007268,(ddhB) CDP-glucose 46-dehydratase [O-antigen (VF0392)] [Yersinia enterocolitica subsp. enterocolitica 8081],
71,barcode01,barcode01_contig_1,2740255,2741011,+,wbaP/rfbP,660-1416/1416,......==/======,4/14,52.97,72.51,vfdb,NP_439033,(wbaP/rfbP) undecaprenyl-phosphate galactosephosphotransferase [LOS (CVF494)] [Haemophilus influenzae Rd KW20],
72,barcode01,barcode01_contig_1,2758041,2760389,-,sopA,1-2349/2349,===============,0/0,100.0,99.4,vfdb,NP_461011,(sopA) type III secretion system effector SopA E3 ubiquitin ligase [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
73,barcode01,barcode01_contig_1,2857738,2858245,-,fliR,236-743/783,....====/======,2/2,64.75,67.19,vfdb,YP_001006753,(fliR) flagellar biosynthetic protein FliR [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081],
74,barcode01,barcode01_contig_1,2858512,2858758,-,fliQ,1-247/270,==============.,0/0,91.48,72.06,vfdb,YP_001006752,(fliQ) flagellar biosynthetic protein FliQ [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081],
75,barcode01,barcode01_contig_1,2858769,2859445,-,fliP,10-686/687,========/======,2/2,98.4,75.37,vfdb,YP_001006751,(fliP) flagellar biosynthetic protein FliP [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081],
76,barcode01,barcode01_contig_1,2859882,2860142,-,fliN,157-417/417,.....==========,0/0,62.59,80.46,vfdb,YP_001006749,(fliN) flagellar motor switch protein FliN [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081],
77,barcode01,barcode01_contig_1,2860288,2861296,-,fliM,1-1005/1005,========/======,4/6,99.9,75.84,vfdb,YP_001006748,(fliM) flagellar motor switch protein FliM [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081],
78,barcode01,barcode01_contig_1,2863613,2864853,-,fliI,43-1280/1332,========/======,8/21,92.27,74.32,vfdb,YP_001006744,(fliI) flagellum-specific ATP synthase FliI [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081],
79,barcode01,barcode01_contig_1,2865630,2866609,-,fliG,12-991/993,===============,0/0,98.69,79.29,vfdb,YP_001006742,(fliG) flagellar motor switch protein G [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081],
80,barcode01,barcode01_contig_1,2866854,2868244,-,fliF,61-1466/1701,========/=====.,23/45,80.89,68.26,vfdb,YP_001006741,(fliF) flagellar M-ring protein FliF [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081],
81,barcode01,barcode01_contig_1,2873632,2873966,-,fliS,41-374/399,.=======/======,1/1,83.71,70.15,vfdb,YP_001006732,(fliS) flagellar protein FliS [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081],
82,barcode01,barcode01_contig_1,2878691,2879383,+,fliA,10-702/723,========/======,2/2,95.71,76.08,vfdb,YP_001006726,(fliA) flagellar biosynthesis sigma factor [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081],
83,barcode01,barcode01_contig_1,2902095,2902376,+,flhD,9-290/360,========/====..,2/2,78.06,71.03,vfdb,YP_001006784,(flhD) flagellar transcriptional activator FlhD [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081],
84,barcode01,barcode01_contig_1,2902445,2903000,+,flhC,6-564/582,========/======,5/7,95.19,74.87,vfdb,YP_001006783,(flhC) flagellar biosynthesis transcription activator FlhC [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081],
85,barcode01,barcode01_contig_1,2903155,2903984,+,motA,13-842/888,========/======,3/4,93.24,73.68,vfdb,YP_001006782,(motA) flagellar motor protein MotA [peritrichous flagella (AI145)] [Yersinia enterocolitica subsp. enterocolitica 8081],
86,barcode01,barcode01_contig_1,2904098,2904859,+,motB,72-827/1245,========/==....,5/16,60.32,68.45,vfdb,YP_001006781,(motB) flagellar motor protein MotB [peritrichous flagella (AI145)] [Yersinia enterocolitica subsp. enterocolitica 8081],
87,barcode01,barcode01_contig_1,2907021,2907476,+,cheW,25-480/498,========/======,2/2,91.37,75.49,vfdb,YP_001006779,(cheW) purine-binding chemotaxis protein CheW [peritrichous flagella (AI145)] [Yersinia enterocolitica subsp. enterocolitica 8081],
88,barcode01,barcode01_contig_1,2909588,2910408,+,cheR,1-821/828,========/======,8/8,98.67,70.06,vfdb,YP_001006776,(cheR) chemotaxis methyltransferase CheR [peritrichous flagella (AI145)] [Yersinia enterocolitica subsp. enterocolitica 8081],
89,barcode01,barcode01_contig_1,2910415,2911441,+,cheB,1-1030/1050,========/======,8/31,96.48,73.95,vfdb,YP_001006775,(cheB) chemotaxis-specific methylesterase CheB [peritrichous flagella (AI145)] [Yersinia enterocolitica subsp. enterocolitica 8081],
90,barcode01,barcode01_contig_1,2911482,2911869,+,cheY,1-388/390,===============,0/0,99.49,77.58,vfdb,YP_001006774,(cheY) chemotaxis regulatory protein CheY [peritrichous flagella (AI145)] [Yersinia enterocolitica subsp. enterocolitica 8081],
91,barcode01,barcode01_contig_1,2911951,2912525,+,cheZ,70-644/645,.=======/======,6/24,87.29,72.23,vfdb,YP_001006773,(cheZ) chemotaxis regulator CheZ [peritrichous flagella (AI145)] [Yersinia enterocolitica subsp. enterocolitica 8081],
92,barcode01,barcode01_contig_1,2912720,2913845,+,flhB,1-1125/1152,========/======,16/39,96.01,68.47,vfdb,YP_001006771,(flhB) flagellar biosynthetic protein FlhB [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081],
93,barcode01,barcode01_contig_1,2913865,2915935,+,flhA,1-2071/2079,========/======,8/14,99.28,73.97,vfdb,YP_001006770,(flhA) flagellar biosynthesis protein FlhA [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081],
94,barcode01,barcode01_contig_1,2977951,2978674,+,sopE2,1-723/723,========/======,1/1,100.0,99.59,vfdb,NP_460811,(sopE2) type III secretion system effector SopE2 guanine nucleotide exchange factor [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
95,barcode01,barcode01_contig_1,3059440,3060269,+,kdsA,1-829/855,========/======,3/7,96.61,71.19,vfdb,NP_439706,(kdsA) 2-dehydro-3-deoxyphosphooctonate aldolase [LOS (CVF494)] [Haemophilus influenzae Rd KW20],
96,barcode01,barcode01_contig_1,3081842,3082663,+,galU,4-830/888,========/======,8/19,91.78,70.02,vfdb,NP_438972,(galU) glucosephosphate uridylyltransferase [LOS (CVF494)] [Haemophilus influenzae Rd KW20],
97,barcode01,barcode01_contig_1,3139019,3140392,+,steC,1-1374/1374,===============,0/0,100.0,98.4,vfdb,NP_460656,(steC) type III secretion system effector SteC [SPI-2 encoded T3SS (SS021)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
98,barcode01,barcode01_contig_1,3208046,3209273,-,sseJ,1-1227/1227,========/======,1/1,100.0,99.76,vfdb,NP_460590,(sseJ) type III secretion system effector SseJ glycerophospholipid:cholesterol acyltransferase [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
99,barcode01,barcode01_contig_1,3210544,3210949,-,steB,1-402/402,========/======,1/4,100.0,99.02,vfdb,AAL20547,(steB) type III secretion system effector SteB [SPI-1 encoded T3SS (SS010)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
100,barcode01,barcode01_contig_1,3237442,3238392,-,sifB,1-951/951,===============,0/0,100.0,99.47,vfdb,NP_460561,(sifB) type III secretion system effector SifB [SPI-2 encoded T3SS (SS021)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
101,barcode01,barcode01_contig_1,3260428,3261061,+,steA,1-633/633,========/======,1/1,100.0,94.8,vfdb,NP_460542,(steA) type III secretion system effector SteA [SPI-1 encoded T3SS (SS010)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
102,barcode01,barcode01_contig_1,3426435,3427494,-,ssaU,1-1059/1059,========/======,1/1,100.0,99.25,vfdb,NP_460387,(ssaU) type III secretion system export apparatus switch protein SsaU [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
103,barcode01,barcode01_contig_1,3427491,3428270,-,ssaT,1-780/780,===============,0/0,100.0,98.59,vfdb,NP_460386,(ssaT) type III secretion system minor export apparatus protein SsaT [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
104,barcode01,barcode01_contig_1,3428271,3428537,-,ssaS,1-267/267,===============,0/0,100.0,99.62,vfdb,NP_460385,(ssaS) type III secretion system minor export apparatus protein SsaS [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
